provincia;municipio;sexo;total
03 Alicante/Alacant;03069 Finestrat;Ambos sexos;124
03 Alicante/Alacant;03069 Finestrat;Hombres;68
03 Alicante/Alacant;03069 Finestrat;Mujeres;56
03 Alicante/Alacant;03070 Formentera del Segura;Ambos sexos;108
03 Alicante/Alacant;03070 Formentera del Segura;Hombres;58
03 Alicante/Alacant;03070 Formentera del Segura;Mujeres;50
03 Alicante/Alacant;03071 Gata de Gorgos;Ambos sexos;186
03 Alicante/Alacant;03071 Gata de Gorgos;Hombres;88
03 Alicante/Alacant;03071 Gata de Gorgos;Mujeres;98
03 Alicante/Alacant;03072 Gaianes;Ambos sexos;1
03 Alicante/Alacant;03072 Gaianes;Hombres;1
03 Alicante/Alacant;03072 Gaianes;Mujeres;0
03 Alicante/Alacant;03073 Gorga;Ambos sexos;16
03 Alicante/Alacant;03073 Gorga;Hombres;10
03 Alicante/Alacant;03073 Gorga;Mujeres;6
03 Alicante/Alacant;03074 Granja de Rocamora;Ambos sexos;109
03 Alicante/Alacant;03074 Granja de Rocamora;Hombres;54
03 Alicante/Alacant;03074 Granja de Rocamora;Mujeres;55
03 Alicante/Alacant;03075 Castell de Guadalest, el;Ambos sexos;7
03 Alicante/Alacant;03075 Castell de Guadalest, el;Hombres;4
03 Alicante/Alacant;03075 Castell de Guadalest, el;Mujeres;3
03 Alicante/Alacant;03076 Guardamar del Segura;Ambos sexos;357
03 Alicante/Alacant;03076 Guardamar del Segura;Hombres;191
03 Alicante/Alacant;03076 Guardamar del Segura;Mujeres;166
03 Alicante/Alacant;03077 Fondó de les Neus, el/Hondón de las Nieves;Ambos sexos;19
03 Alicante/Alacant;03077 Fondó de les Neus, el/Hondón de las Nieves;Hombres;9
03 Alicante/Alacant;03077 Fondó de les Neus, el/Hondón de las Nieves;Mujeres;10
03 Alicante/Alacant;03078 Hondón de los Frailes;Ambos sexos;9
03 Alicante/Alacant;03078 Hondón de los Frailes;Hombres;4
